,UserName,content,score,sentiment
63,R Cusick,"Ads don't work after the last update. How are we supposed to ""update habitat 20 times"" nearly every day when you haven't updated the tasks, haven't added new areas to buy, haven't added new penguins to buy, and we're stuck making 1/100th of what it takes to upgrade once per hour? This is ridiculous.",1,0
64,Karen,"Best Penguin game ever! I absolutely love penguins. I love that they give you plenty of time for the special events! You can rest easy you'll get all the cute special event penguins. Such a relaxing idle game, everything is super cute 😍",5,1
65,BlueFlower1096 BlueFlower1096,"I had issues with my in-app purchases and posted here about it and the team at Penguin Isle were very prompt and courteous in their responses and follow ups, this is the fastest I've ever had an issue resolved and I really appreciate that. Thank you for the great game and also for your great customer service!",5,1
66,Melissa Walker,"Super cute, you can play without buying anything. They do have ads, but they aren't bad, you watch them to get coins n stuff, they don't just pop up",5,1
67,Brandon Im,"Game is great but now I'm getting ads that literally open a new game. That is awful and won't play until you stop those types of ads. Furthermore, it crashes my game and I don't get the reward for watching the ad.",1,0
68,human person,"very cute! normally im not huge on clicker games, but u can upgrade each station almost at once to make it automatic. very relaxing music & aesthetic. i like it! no complaints so far",5,1
69,Lynley Day,"It is the cutest game and I love it so much and you should definitely get it if you like penguins. It genuinely makes me smile so much, they're all so cute :)",5,1
70,Kiaan Vora,"Nice game. Penguins are my favorite animal so this caught my interest. It has good graphics, great gameplay and creativity. But there is one thing that is bad... WHY TF IS THERE SO MANY ADS NOT EVERYTHING THATS FREE NEEDS A ADD!!!!!",4,1
71,David Roda,"Cool game but you need more habitats and space for fixtures. Seems to be a waste to use research points on decreasing habitat and penguin costs when there are no habitats or penguins to purchase, so now i accumulate coins for nothing",3,1
72,Bébé Oiseau,"I like that you can choose when to watch ads and you get good in game rewards for them, rather then just throwing them up whenever. Also, IT'S AN ISLAND WITH PENGUINS!!!",5,1
73,Dianko Torres,I want this to be 5 stars but the only issue I'm having is that when I close the app my penguins do not continue to generate gold. I'll get the notification saying they've made x gold but when I enter the game i haven't gotten anything. Please fix,3,1
74,Chuljin Ahn,"After playing it over a few days, I found that I spent more time waiting for ads to finish, than enjoying something in game, to the point that I question myself, what am I doing, am I one of those penguins making ads money for the developer?",1,0
75,Corey Boddie,This game is alot of fun sometimes I play other games just like this but yea it's fun no laggs grate graphics yea it's just so fun,5,1
76,Cybil Thomas,"I got this game a while ago, been playing for months and months! I love it, but it keeps telling me I need to update it but I've already updated it on the 25thand that's the newest update. Bugs need to be fixed.",1,0
77,Jason Woodring,"Super addictive, there's so much to do all the time! Sometimes there's a long time to wait between upgrades, but still really good.",5,1
78,jase post,This game is relaxing and it's enjoyable. All you do is upgrade the land make it look nice and get penguins it is one of the best games I've played in a while.,4,1
79,Veronica Medina,I love penguins so naturally I'd love this game. I always get so caught up playing it. It's So relaxing and watching the lil penguins playing with the items I've put up for them is so cute.,5,1
80,Leland TheBoss,"It's just a nice peaceful game, takes a little bit to progress after a certain amount of time but overall, good game",4,1
81,Satürn,"Soooo cute! The little penguins have a little mind of their own, the way they're programmed really makes it look like it! Great game.",5,1
82,Iyana Marie,The penguins are so cute! I love decorating my islands and the updates are continually better and better!,5,1
83,Leah Sherman,"It's fun, and cute. Sometimes it'll show something, but I can't see what I'm suposed to be looking for. Good game overal though",4,1
84,Matilda Gonser,"Super fun, and so far no major glitches. It is easy to play, but not to easy. 100% recommend!",5,1
85,Wendy Quiroz,Very cute! I love how all the penguins move! There are ads but they are avoidable but also helpful.,5,1
86,Taylor Joseph,"Such a chill game, and it doesn't take up much space. This is the only game I have on my phone, and I'm fine with that. It's relaxing, adorable, and great for when your bored.",5,1
87,Madison Mast,"This game is super calm, relaxing and addicting. It is so much fun to play and will give you a great experience! I am very pleased with the outcome of the game!",5,1
88,DoctorX0712 ?,This is a very cute and adorable game but I do have to say that a lot of the time is waiting to get money to upgrade gets boring pretty fast but it doesn't take too long,4,1
89,Tylar Jeffs,"It's a clicker so I guess I shouldn't expect more but I do want more to do. The game is really cute and relaxing, which is mainly why I play it.",4,1
90,your local enby,"I don't think people know that ads make a game free. It's a wonderful game, and updates make it really interesting.",5,1
91,aidenx a,"I love this game, it's an idle game but it's good for relaxing and just sitting with your penguins, amazing sound design and it's just good 👍",5,1
92,Sean Pajda,Its fun like really fun cause i usally have a lot of time to grind but the reason i dont give it a 5 star is because it is really hard to get only the 5th area and its only the 5th,4,1
93,Pandansca W,"So calming! And so cute! ❤ I just wish you kept. Olentangy money and hearts, if even a little bit, outside of the game while away.",5,1
94,Polar Bear,Great game cute penguins but its kind of hard to earn coins without watching ads and i have a bug the ads freeze then the game crashes pls fix.😃,5,1
95,Isabelle Morrison,I love how endless this game is and how many updates it gets! It's great and is so relaxing I love it so much!,5,1
96,2KY _,- update - everything is balanced again the season game updates are so cute I just wish we could see another arcade game like the penguin jump,4,1
97,Mattnyan,"This game is so cute and adorable at the same time its really addicting and has some really cute penguins, its a game you have to try",5,1
98,Karter Manning,"Amazing graphical experience, and you can tell that the developers did a lot of work on the game.",5,1
99,none ya,Relaxing and fun but I wish you could leave your social id on a visited penguin isle so that people can possibly return the favor. I have had zero visitors.,3,1
100,YoostaBeYooper,"It's a good game overall but I just tried to log on and I tells me I need an update, but my phone says the game is up to date and doesn't need one. Now it wont let me play the game",1,0
101,Cherea Dean,"This game is a very calming simulator experience with cute penguins. Simple, but very effective.",5,1
102,Super T,"I think this is a chill and a thing you can do when your bored, and it's really cute just to see them move on the land you made",4,1
103,The Mad God,"Such a cute, fun, relaxing game. The penguins are so lively and adorable!!! If I could give it more stars I definitely would. ☺️",5,1
104,K Pinzon,Good game only problem is the progression is a bit to slow.,4,1
105,James Hall,I really like the game it's makes me relax and it's a great game to to have fun it's very funny I love the Penguins and creature it's a great game I love it I hope this review helped out other people,5,1
106,sleepyboi,"I just want to say this is one of my favorite casual games to play ever but a problem I have with it is the total habitat lvl quest. That one specific quest just slow my progress down so much for me, I could barely do anything like upgrading my research tier. Not to mention the game became tedious b/c of that. If you can, please change the quest to something more manageable like idk upgrading this ONE habitat like 20x, not a few hundreds. it can be any random habitat, just make it easier",3,1
107,Melody Hicks,"I kept having a problem where my penguins disappear. I'll have 20 of a kind and suddenly it will be down too 16. It's happened 4 times now, considering they get more and more expensive it's frustrating to keep replacing them. Rewards for every ad you watch is awesome. More space for decorating would be nice. Sometimes the animals glitch and walk in place endlessly. It's a cute game, nice for relaxing.",3,1
108,Andrew O'Neil,"Apparently honest feedback gets deleted. Poor coding, gambling mechanics, inflated in game currency. Is it really worth the cost of a AAA title? No! But you can buy limited edition penguins! So? This game is designed to snatch money from children. These games and their developers are a mere vehicle for advertisers. This game is an insult to penguindom! It's fun until you realize that it's another pay to enjoy title. I am not a bot and will gladly repost my honest critique. Do better.",1,0
109,Dave Gonzales,It's a very relaxing game that you can progress at your own pace. You can have tons of penguins running around doing amusing things like riding a hot air balloon or wearing a Christmas tree. It's very quaint and I enjoyed it a great deal.,5,1
110,Katlyn,Captivating game! Very easy to lose track of time playing this as there is a lot of instant gratification watching the in game currencies rise higher and faster the more you play. Another plus is you get to choose whether you want to watch ads or not (it does benefit you to watch the ads) instead of getting interrupted in the middle of game play. It is also enjoyable to play without making in-game purchases. Definitely recommend if you want to escape from reality for a bit :),5,1
111,Anas Mokhlis,I love this game it's adorable but one problem and that's how much things cost I have to grind so much but it's ok but please just make easier to get the currency,5,1
112,Bren Kapazioni,"Solid for an idle game. I really like it focuses more on full progression rather than constantly demanding prestiges to make progress, and credit where credit is due, it took a very long time to hit a brick wall in said progression. However, that and the shockingly limited customization, due to strict decor limits and to a lesser extent the penguin limit, ultimately made me decide to stop. Still, very nice idle game with a lot of charm and not very much BS to it.",5,1
113,BredCrum,Very cute and wholesome! It can be played offline but can sometimes be buggy offline so i recomend playing it with internet. No ads unless you choose to watch ads and is very cute. Basicly a tycoon game where you build up differeny parts pf the ice which inhabbit penguins which can give you more gold and hearts to buy more penguins and more land. You can craft decoratins to customize ypur island! Would recomend.,5,1
114,brittany breaux,"Edit 7/21/21 I love this game. It's a great way to relax and unwind from a stressful day. 4 star rating because sometimes the ad videos for ship summoning don't always work. 9/10 it works but every once in a while it doesn't. Other than that, I adore this game. I'm up to 245 penguins 😂 my best friends now call me Ingrind the Penguin Lady",4,1
115,Jane,"This is a really sweet and fun game! I rate it 2 stars due to the performance. On multiple occasions the app has crashed while opening certain pages (ex. the workshop). It has also been freezing and crashing nearly every time I watch an ad. This is frustrating because I can't progress in missions that require me to watch ads (ex. pirate ship), and because I will end up watching an ad 3+ times without getting the ad reward, because I have to fully close and restart the app. Besides this, 5 stars.",2,0
116,Jeh Ree,"Cute at first, but relies too much on scaling and forcing the user to watch ads. If you play for more than a couple days, you'll get to a point where you have to watch 10-20 ads to advance. At that point the game stops being fun, and it (the required ad watching) only gets worse.",1,0
117,Breanna Phelan,"Admittedly cute, but infuriating. It's just constantly watching ads, an in-app mini game that glitches/lags constantly even when my Android phone was brand new, and broken ads that force you to reboot the app sometimes as often as every 5 minutes, which I've sent in multiple reports about over the course of many updates and have never been addressed. And now they just focus on decorations I couldn't care less about, rather than adding new lands/penguins/goals/creatures with each update.",3,1
118,Mombie Zombie,"This game is an idle clicker, but it's got beautiful art, relaxing music and sounds and super cute concepts and gameplay! I have really enjoyed myself so far with it and I like that the rewards systems aren't all pay to play you can achieve things with just gameplay! A nice change from other idle click games.",5,1
119,Aniyah Townes,"I love this game it helps keeps me at bay especially since I have anxiety and anger issues I play this game right after something angers me it instally keeps me calm I can't stop playing this game. I adore everything about it I really love the vibe it is soft and calming it isn't like ""OH HEY LOOK"" it is like ""please take my picture""",5,1
120,Ududo Eze,"Excellent long term idle once you get it rolling. Fun to see what is new, and to watch numbers go up. Only gripe is the secondary currency and microtransactions. Same as other games--too many for little return. Else, I enjoy it. Recommend for anyone looking for a once in awhile idle, or something to check semi-regularly.",4,1
121,꧁sleepy Bby꧂,"""Adorable"" was the first word the very second I noticed the game. It's a kawaii single player offline game with very simple but detailed graphics. The reason I gave this review 5 stars was because of how unique the game is. Collect penguins and build small islands such as the hot springs. Buy a employee penguin for the hot springs once unlocked and collect coins and gems to level up your islands and make more of those adorable penguins. Big thanks to the creator for an kawaii game . . . 🤗👏✨",5,1
122,Kowareta Ningyo,I like the game and its very cute but I personally get an issue where watching the ads makes the game crash and then I have to redo the process until it works or I give up. Maybe if I try it in the future this will change but for now its an uninstall.,3,1
123,m. C. dIzZLe,If ads were 10-15 seconds I would've given this more stars. Plus I lost prizes after exiting out of the mail when it wouldn't allow me to claim them.,3,1
124,Bryleigh McCormick,I actually had this game for like 3 months and I really liked it I ended up deleting though because I didn't play it as much anymore but I love the events and playing it. There isn't a lot that you can do offline I feel like so I don't really like that but its whatever. Also it does get really hard to collect money if you play all the time I feel like the only way to be able to get all the money you need in game you need to play consistently or you wont earn money fast enough But its a good game,4,1
125,Sarah H,It's a cute game but I feel like 90% of it is just watching ads/farming money for the creators.,2,0
126,IDontKnowWhoIAm,"This game is fun but the 'mail' system they have for prizes won from mini games sucks. The prislses should just go immediately into your items folder.otherwise there is only about a fifty fifty chance that you will actually get any of your prizes because the mail system keeps likes to glitch. I have lost about half of the gifts I should have received because of this. I hope they fix this because otherwise the gane is pretty great, but the prizes get you much farther in the game.",3,1
127,bri,"I love this game, its fun upgrading land and finding new penguins, and unlike othergames adds dont pop up after everything but like any other game you have to watch adds to earn stuff which isnt that bad, overall i really do recommend this game!",5,1
128,rice,"this app is so cute!! i absolutely love it, it's been so fun so far and i think i will continue to have fun! i definitely recommend this game if you're looking for a game to just relax and look at some cute waddling penguins, keep up the good work!! <3",5,1
129,Comzone lifiry,"All this time, I soon realized it was for nothing. I am getting bored of this game, but surely it was fun at first but the lack of new experienceses and updates make me migrate to the closes things of penguins. Club penguin 3D!",4,1
130,Ariel Kane,This game is really fun and relaxing. You basically just take care of your penguins as they work and collect money for you. Super relaxing- haven't run into a problem yet.,5,1
131,Makayla Kolat,"Cute game, but after a while it takes forever to level up. I wish there were more mini games. However, I do recommend this, its addictive, relaxing, and fun!",4,1
132,Michaela Morrow,"It's a really fun and entertaining game but it randomly closes for no reason and when I try to research, it usually just takes my energy points and doesn't let me have what I chose to research",3,1
133,holly giauque,My whole family loves this game & it's so fun to see how everyone decorates their islands. Looking forward to updates that hopefully will allow more penguins to be created (I'm maxed out at 343) . Fingers are crossed for an actual physical Dino island!! 😊,5,1
134,Quinn,Controls wouldn't work. Couldn't tap anything. Cute concept but sadly didn't go well. (It's not my phone because everything else but the game was working),2,0
135,Squidfizzy,"The game itself is okay, but the amount of ad's you have to sit through for EVERYTHING is ridiculous, so bad it ruins the game.",2,0
136,Nicholas O'Connor,"I enjoyed how peaceful and joyful it is to play this game. You don't need ads to progress, but it does make it go by more quickly. My only suggestion to the creators is to maybe update the habitat evolutions so that when you level up, more things change (vice them adding a few trees in the first 4 levels). Besides that, I would change nothing about this game.",4,1
137,Jason Yarbrough,"Fun game, good for passing time. No need to spend a lot of money, or any money, to accomplish anything. My only complaint is that there is no confirmation for spending diamonds on treasure chests. I accidentally purchased a chest for 200 diamonds because my thumb was too close to the screen when I was scrolling. I was saving those diamonds for my next time purchase and now I don't have the diamonds.",3,1
138,Awkward Commentator,"Penguin's Isle is a slow and advertisement-heavy game. The goal is to develop an island into a penguin paradise. This requires gold, earned through purchasing more land. The problem is the land produces too little gold for decent progress. The pacing is unbearable and the one solution is to watch ads. I don't mind watching ads to speed up a game, but there's no engagement with how it's are implemented here. There's nothing else to do but stare at the penguins and wait to purchase more land. 1/5.",1,0
139,Aaron Le,"This game is exactly as described, a relaxing clicker based around a community of cute penguins. It really is just supposed to be a little game to pass the time, but I've gotten so addicted to it. I unlocked the danger shore (which I think is the last habitat to buy) and am at a loss on what to do next. I think there's some big potential in making some sort of end goal to look forward to. Maybe growing the island could give you some sort of popularity points to spend on some other goal.",5,1
140,Joseph Berman,"You hit a plateau after a bit, even if you use the ads to boost your penguins. You are forced into putting money into the game after that. Edit: The first areas and their levels are easy and quick to obtain. But once you hit Antarctic Base, it suddenly slows down, even using the variety of ads available. I would love to see a better balance implemented so I could continue getting more penguins 😁🐧",1,0
141,Dylan States of America,"The game was very cute and clever, but here are the problems. 1. It was laggy and phone overheats quickly. 2. Fun at first but after a while it felt repetitive. 3. Most of the time used is just grinding coins. 4. Grinding process is so slow it is basically required to constantly watch ads. 5. Ads often freeze the phone so you have to get out and go back in (may only occur to some users. 6. Drains battery too fast.",2,0
142,Dana Larson,"Cute idea but I hate how the only option for the pirate ship and gift box are to watch an ad. I would pay (a one time fee) to hide the ship and box just so I'm not forced to have them hanging in my waters and the only way to get rid of them is to sit through a 30 minute ad. Stop being greedy! Keep this version as the free demo and let us pay a paid version to stop getting the options to sit through ads. Also, what happened to the photos I took? I can't find them anywhere. Pixel 4.",2,0
143,Andrew Robison,"It's another tap tap, wait around and wade through ads game. If those are you're thing and you like penguins go for it. If you don't like penguins I can't imagine any reason you would be reading this review.",3,1
144,EllenNLuke Forever,"Cute idle click game for adults or kids. Just beware that not all of the advertisements are kid friendly- one that plays often in the game is very sexually explicit. I would caution parents against letting kids play this game because of that. The game itself is cute and a bit addicting. Lots of upgrades and coins are collected while you are away. A very easy-going, casual game",4,1
145,Elise,"I love this game; it has a calming soundtrack, charming graphics, and cute animals. But I have a 3 reccomendations: • Islands should be less pricey. It's easy to advance early on, but then you have to wait for weeks to get enough gold. • Purchasing other animals should be clearer. I spent a while wondering how to even get the other type of money to buy a seal. • Upgrading islands and buying penguins should give players more gold. There's almost no difference before and after. Thank you! ♡",3,1
146,Kasey Suzanne,"Cute graphics, and the game has potential, but they missed the mark. There's constant ads, and you have to watch several 30 second ads to progress even slightly. After a while, it's impossible to progress without watching the ads or making in game purchases. Not the sort of relaxing idle game I was hoping for. Can't even pay to get rid of ads. Really disappointed in this game.",2,0
